Author	n (strains)	publication title	journal	publication URL	strains
Ge et al	1	unknown	unknown	unknown	Fuyang/FY002/2020
Stefanelli et al	2	unknown	unknown	unknown	Italy/SPL1/2020,Italy/CDG1/2020
Capobianchi et al	1	unknown	unknown	unknown	Italy/INMI1-cs/2020
Galiano et al	41	unknown	unknown	unknown	England/20142015104/2020,England/20102000106/2020,England/09c/2020,England/200940527/2020,England/200990725/2020,England/200990724/2020,England/20102088002/2020,England/20100001406/2020,England/200960515/2020,England/20102087902/2020,England/200990006/2020,England/20146015504/2020,England/20146011804/2020,England/20144072804/2020,England/01/2020,England/02/2020,England/20144003804/2020,England/200990002/2020,England/200960041/2020,England/20146049204/2020,England/20148041104/2020,England/200641094/2020,England/200690756/2020,England/200690245/2020,England/200690306/2020,England/200690300/2020,England/20146004804/2020,England/20144072604/2020,England/20144071004/2020,England/20144076304/2020,England/20144076204/2020,England/20144075204/2020,England/20144017704/2020,England/20148006604/2020,England/20130071804/2020,England/20099038206/2020,England/20148043704/2020,England/20144070104/2020,England/20139022704/2020,England/20148065004/2020,England/20144074604/2020
Kathrine Stene-Johansen et al	27	unknown	unknown	unknown	Norway/1538/2020,Norway/1494/2020,Norway/1455/2020,Norway/1443/2020,Norway/1493/2020,Norway/1694/2020,Norway/1379/2020,Norway/2052/2020,Norway/1380/2020,Norway/2087/2020,Norway/1526/2020,Norway/2088/2020,Norway/1811/2020,Norway/1953/2020,Norway/1495/2020,Norway/1772/2020,Norway/1955/2020,Norway/2090/2020,Norway/1867/2020,Norway/2084/2020,Norway/1781/2020,Norway/2114/2020,Norway/2113/2020,Norway/1951/2020,Norway/2065/2020,Norway/1989/2020,Norway/1917/2020
Kotaria et al	5	unknown	unknown	unknown	Georgia/Tb-468/2020,Georgia/Tb-54/2020,Georgia/Tb-82/2020,Georgia/Tb-477/2020,Georgia/Tb-1352/2020
Machablishvili et al	1	unknown	unknown	unknown	Georgia/Tb-537/2020
Gudbjartsson et al	21	unknown	unknown	unknown	Iceland/13/2020,Iceland/246/2020,Iceland/166/2020,Iceland/355/2020,Iceland/371/2020,Iceland/439/2020,Iceland/583/2020,Iceland/239/2020,Iceland/41/2020,Iceland/42/2020,Iceland/362/2020,Iceland/63/2020,Iceland/336/2020,Iceland/159/2020,Iceland/300/2020,Iceland/234/2020,Iceland/227/2020,Iceland/161/2020,Iceland/327/2020,Iceland/231/2020,Iceland/91/2020
M.E. Quinones-Mateu et al	2	unknown	unknown	unknown	NewZealand/CoV002/2020,NewZealand/CoV001/2020
Ana Gonzalez-Reiche et al	149	unknown	unknown	unknown	USA/NY-PV08135/2020,USA/NY-PV08137/2020,USA/NY-PV09061/2020,USA/NY-PV09067/2020,USA/NY-PV09063/2020,USA/NY-PV09099/2020,USA/NY-PV09154/2020,USA/NY-PV08489/2020,USA/NY-PV08498/2020,USA/NY-PV08148/2020,USA/NY-PV09156/2020,USA/NY-PV09147/2020,USA/NY-PV08441/2020,USA/NY-PV08146/2020,USA/NY-PV09178/2020,USA/NY-PV09309/2020,USA/NY-PV09200/2020,USA/NY-PV08495/2020,USA/NY-PV09182/2020,USA/NY-PV09075/2020,USA/NY-PV08123/2020,USA/NY-PV09308/2020,USA/NY-PV09116/2020,USA/NY-PV09303/2020,USA/NY-PV09161/2020,USA/NY-PV09301/2020,USA/NY-PV09307/2020,USA/NY-PV09194/2020,USA/NY-PV08139/2020,USA/NY-PV08450/2020,USA/NY-PV09090/2020,USA/NY-PV09152/2020,USA/NY-PV09077/2020,USA/NY-PV09145/2020,USA/NY-PV09006/2020,USA/NY-PV08463/2020,USA/NY-PV09135/2020,USA/NY-PV09137/2020,USA/NY-PV08496/2020,USA/NY-PV08125/2020,USA/NY-PV08143/2020,USA/NY-PV09168/2020,USA/NY-PV08429/2020,USA/NY-PV09195/2020,USA/NY-PV08461/2020,USA/NY-PV09189/2020,USA/NY-PV09092/2020,USA/NY-PV09172/2020,USA/NY-PV09103/2020,USA/NY-PV08415/2020,USA/NY-PV08403/2020,USA/NY-PV09164/2020,USA/NY-PV08138/2020,USA/NY-PV09143/2020,USA/NY-PV09087/2020,USA/NY-PV09097/2020,USA/NY-PV09138/2020,USA/NY-PV09073/2020,USA/NY-PV09169/2020,USA/NY-PV08500/2020,USA/NY-PV08464/2020,USA/NY-PV08446/2020,USA/NY-PV09098/2020,USA/NY-PV09197/2020,USA/NY-PV08485/2020,USA/NY-PV08434/2020,USA/NY-PV08432/2020,USA/NY-PV09139/2020,USA/NY-PV09129/2020,USA/NY-PV09141/2020,USA/NY-PV09023/2020,USA/NY-PV08481/2020,USA/NY-PV09199/2020,USA/NY-PV09158/2020,USA/NY-PV09163/2020,USA/NY-PV09176/2020,USA/NY-PV08487/2020,USA/NY-PV09128/2020,USA/NY-PV09183/2020,USA/NY-PV08149/2020,USA/NY-PV09046/2020,USA/NY-PV09186/2020,USA/NY-PV09144/2020,USA/NY-PV09157/2020,USA/NY-PV09187/2020,USA/NY-PV09149/2020,USA/NY-PV09192/2020,USA/NY-PV09044/2020,USA/NY-PV08419/2020,USA/NY-PV09080/2020,USA/NY-PV09079/2020,USA/NJ-PV09072/2020,USA/NY-PV09068/2020,USA/NY-PV09165/2020,USA/NY-PV09060/2020,USA/NY-PV09020/2020,USA/NY-PV09153/2020,USA/NY-PV09041/2020,USA/NY-PV09305/2020,USA/NY-PV09069/2020,USA/NY-PV09050/2020,USA/NY-PV08478/2020,USA/NY-PV08456/2020,USA/NY-PV09130/2020,USA/NY-PV09019/2020,USA/NY-PV08468/2020,USA/NY-PV08443/2020,USA/NY-PV09126/2020,USA/NY-PV09047/2020,USA/NY-PV08120/2020,USA/NY-PV08121/2020,USA/NY-PV08448/2020,USA/NY-PV08477/2020,USA/NY-PV09179/2020,USA/NY-PV09071/2020,USA/NY-PV09032/2020,USA/NY-PV09021/2020,USA/NY-PV09043/2020,USA/NY-PV09057/2020,USA/NY-PV09102/2020,USA/NY-PV09304/2020,USA/NY-PV09140/2020,USA/NY-PV09181/2020,USA/NY-PV08472/2020,USA/NY-PV08150/2020,USA/NY-PV08455/2020,USA/NY-PV08494/2020,USA/NY-PV08491/2020,USA/NY-PV08474/2020,USA/NY-PV08453/2020,USA/NY-PV08447/2020,USA/NY-PV08459/2020,USA/NY-PV08466/2020,USA/NY-PV08452/2020,USA/NY-PV08492/2020,USA/NY-PV09120/2020,USA/NY-PV09119/2020,USA/NY-PV09123/2020,USA/NY-PV09180/2020,USA/NY-PV08410/2020,USA/NY-PV09198/2020,USA/NY-PV09134/2020,USA/NY-PV09118/2020,USA/NY-PV09083/2020,USA/NY-PV09028/2020,USA/NY-PV09064/2020,USA/NY-PV08109/2020,USA/NY-PV08449/2020,USA/NY-PV08417/2020
