Author	n (strains)	publication title	journal	publication URL	strains
Bampali et al	3	unknown	unknown	unknown	Greece/16/2020,Greece/12/2020,Greece/10/2020
Romero et al	11	unknown	unknown	unknown	Brazil/RJ0113/2020,Brazil/MG0102/2020,Brazil/GO0106/2020,Brazil/MG0108/2020,Brazil/RJ0118/2020,Brazil/MG0101/2020,Brazil/MG0112/2020,Brazil/SP0105/2020,Brazil/RS0107/2020,Brazil/SP0104/2020,Brazil/RJ0116/2020
Maria Dolores Ocete et al	2	unknown	unknown	unknown	Spain/Valencia5/2020,Spain/Valencia38/2020
Marta Pla Diaz et al	1	unknown	unknown	unknown	Spain/Valencia93/2020
Mariana Reyes-Prieto et al	1	unknown	unknown	unknown	Spain/Valencia35/2020
Paula Ruiz-Hueso et al	1	unknown	unknown	unknown	Spain/Valencia34/2020
Loreto Ferrus Abad et al	1	unknown	unknown	unknown	Spain/Valencia32/2020
Vicente Soriano Chirona et al	1	unknown	unknown	unknown	Spain/Valencia36/2020
Gimeno et al	1	unknown	unknown	unknown	Spain/Valencia39/2020
Bengner et al	1	unknown	unknown	unknown	Sweden/01/2020
Alan K.L. Tsang et al	1	unknown	unknown	unknown	HongKong/VB20017970/2020
Terrier et al	1	unknown	unknown	unknown	France/IDF0386-islP1/2020
Octavia et al	5	unknown	unknown	unknown	Singapore/7/2020,Singapore/8/2020,Singapore/9/2020,Singapore/10/2020,Singapore/11/2020
Joan Marti-Carreras et al	11	unknown	unknown	unknown	Belgium/BJ-0325181/2020,Belgium/VHV-0324118/2020,Belgium/VRJM-0323114/2020,Belgium/PC-0325147/2020,Belgium/MAC-0324142/2020,Belgium/NL-030447/2020,Belgium/DNS-0324176/2020,Belgium/NMA-0324169/2020,Belgium/NIM-0324161/2020,Belgium/DLDJ-030569/2020,Belgium/DCB-0324163/2020
Maria Aguero-Rosenfeld et al	14	unknown	unknown	unknown	USA/NY-NYUMC23/2020,USA/NY-NYUMC90/2020,USA/NY-NYUMC126/2020,USA/NY-NYUMC140/2020,USA/NY-NYUMC159/2020,USA/NY-NYUMC156/2020,USA/NY-NYUMC133/2020,USA/NY-NYUMC131/2020,USA/NY-NYUMC145/2020,USA/NY-NYUMC143/2020,USA/NY-NYUMC152/2020,USA/NY-NYUMC125/2020,USA/NY-NYUMC153/2020,USA/NY-NYUMC160/2020
Gudbjartsson et al	21	unknown	unknown	unknown	Iceland/38/2020,Iceland/332/2020,Iceland/329/2020,Iceland/13/2020,Iceland/516/2020,Iceland/464/2020,Iceland/37/2020,Iceland/22/2020,Iceland/210/2020,Iceland/78/2020,Iceland/570/2020,Iceland/239/2020,Iceland/471/2020,Iceland/547/2020,Iceland/366/2020,Iceland/207/2020,Iceland/601/2020,Iceland/597/2020,Iceland/59/2020,Iceland/234/2020,Iceland/214/2020
Claudio Tavares Sacchi et al	12	unknown	unknown	unknown	Brazil/SPBR-10/2020,Brazil/SPBR-11/2020,Brazil/SPBR-14/2020,Brazil/SPBR-12/2020,Brazil/SPBR-08/2020,Brazil/SPBR-13/2020,Brazil/SPBR-07/2020,Brazil/SPBR-04/2020,Brazil/SPBR-03/2020,Brazil/SPBR-05/2020,Brazil/SPBR-09/2020,Brazil/SPBR-06/2020
Schmutz et al	5	unknown	unknown	unknown	Switzerland/1000477102/2020,Switzerland/1000477377/2020,Switzerland/1000477797/2020,Switzerland/1000477806/2020,Switzerland/1000477796/2020
Giandhari et al	5	unknown	unknown	unknown	SouthAfrica/KRISP_0002/2020,SouthAfrica/KRISP_0006/2020,SouthAfrica/KRISP_0012/2020,SouthAfrica/KRISP_0007/2020,SouthAfrica/KRISP_0011/2020
Durkin et al	23	unknown	unknown	unknown	Belgium/ULG-10080/2020,Belgium/ULG-10052/2020,Belgium/ULG-10089/2020,Belgium/ULG-10088/2020,Belgium/ULG-10095/2020,Belgium/ULG-6743/2020,Belgium/ULG-7626/2020,Belgium/ULG-10044/2020,Belgium/ULG-10061/2020,Belgium/ULG-10050/2020,Belgium/ULG-10067/2020,Belgium/ULG-10082/2020,Belgium/ULG-10066/2020,Belgium/ULG-10057/2020,Belgium/ULG-10093/2020,Belgium/ULG-10072/2020,Belgium/ULG-10054/2020,Belgium/ULG-10085/2020,Belgium/ULG-10084/2020,Belgium/ULG-10071/2020,Belgium/ULG-10063/2020,Belgium/ULG-10074/2020,Belgium/ULG-10055/2020
Jaqueline Goes de Jesus et al	2	unknown	unknown	unknown	Brazil/SPBR-02/2020,Brazil/SPBR-01/2020
Carr et al	11	unknown	unknown	unknown	Ireland/24042/2020,Ireland/22901/2020,Ireland/Dublin-22361/2020,Ireland/21023/2020,Ireland/21145/2020,Ireland/Dublin-19072/2020,Ireland/Dublin-22428/2020,Ireland/24052/2020,Ireland/Limerick-19935/2020,Ireland/Limerick-19933/2020,Ireland/Limerick-19934/2020
Popa et al	21	unknown	unknown	unknown	Austria/CeMM0005/2020,Austria/CeMM0004/2020,Austria/CeMM0001/2020,Austria/CeMM0009/2020,Austria/CeMM0002/2020,Austria/CeMM0003/2020,Austria/CeMM0010/2020,Austria/CeMM0019/2020,Austria/CeMM0018/2020,Austria/CeMM0014/2020,Austria/CeMM0007/2020,Austria/CeMM0013/2020,Austria/CeMM0012/2020,Austria/CeMM0017/2020,Austria/CeMM0021/2020,Austria/CeMM0016/2020,Austria/CeMM0008/2020,Austria/CeMM0006/2020,Austria/CeMM0020/2020,Austria/CeMM0011/2020,Austria/CeMM0015/2020
Kathrine Stene-Johansen et al	27	unknown	unknown	unknown	Norway/2052/2020,Norway/1379/2020,Norway/1538/2020,Norway/1494/2020,Norway/1455/2020,Norway/1443/2020,Norway/1694/2020,Norway/1493/2020,Norway/1380/2020,Norway/2087/2020,Norway/1867/2020,Norway/2093/2020,Norway/2090/2020,Norway/2114/2020,Norway/1781/2020,Norway/2084/2020,Norway/1917/2020,Norway/1951/2020,Norway/1989/2020,Norway/2065/2020,Norway/1811/2020,Norway/1953/2020,Norway/1772/2020,Norway/1495/2020,Norway/1955/2020,Norway/2088/2020,Norway/1526/2020
M.E. Quinones-Mateu et al	2	unknown	unknown	unknown	NewZealand/CoV002/2020,NewZealand/CoV001/2020
Tomaz Mark Zorec et al	1	unknown	unknown	unknown	Slovenia/808/2020
Iglesias-Caballero et al	3	unknown	unknown	unknown	Spain/Andalucia201272/2020,Spain/CastillayLeon201061/2020,Spain/Madrid201105/2020
Roychoudhury et al	5	unknown	unknown	unknown	USA/WA3-UW1/2020,USA/CT-UW238/2020,USA/UN-UW-1407/2020,USA/WA-UW186/2020,USA/WA-UW-2009/2020
