Author	n (strains)	publication title	journal	publication URL	strains
Maria Dolores Ocete et al	3	unknown	unknown	unknown	Spain/Valencia12/2020,Spain/Valencia5/2020,Spain/Valencia38/2020
Medina et al	3	unknown	unknown	unknown	Chile/Santiago_op3d1/2020,Chile/Santiago_op2d1/2020,Chile/Santiago_op4d1/2020
Mariana Reyes-Prieto et al	1	unknown	unknown	unknown	Spain/Valencia35/2020
Giuseppe D'Auria et al	2	unknown	unknown	unknown	Spain/Valencia23/2020,Spain/Valencia8/2020
Navarro et al	3	unknown	unknown	unknown	Spain/Valencia3/2020,Spain/Valencia55/2020,Spain/Valencia54/2020
Paula Ruiz-Hueso et al	1	unknown	unknown	unknown	Spain/Valencia34/2020
Guiomar et al et al	19	unknown	unknown	unknown	Portugal/PT0042/2020,Portugal/PT0035/2020,Portugal/PT0043/2020,Portugal/PT0054/2020,Portugal/PT0058/2020,Portugal/PT0019/2020,Portugal/PT0062/2020,Portugal/PT0081/2020,Portugal/PT0079/2020,Portugal/PT0051/2020,Portugal/PT0050/2020,Portugal/PT0045/2020,Portugal/PT0017/2020,Portugal/PT0086/2020,Portugal/PT0083/2020,Portugal/PT0044/2020,Portugal/PT0089/2020,Portugal/PT0067/2020,Portugal/PT0092/2020
Carbo et al	1	unknown	unknown	unknown	Spain/Valencia62/2020
Inma Galan Vendrell et al	2	unknown	unknown	unknown	Spain/Valencia61/2020,Spain/Valencia33/2020
Neris Garcia-Gonzalez et al	3	unknown	unknown	unknown	Spain/Valencia60/2020,Spain/Valencia31/2020,Spain/Valencia25/2020
Lidia Ruiz Roldan et al	1	unknown	unknown	unknown	Spain/Valencia27/2020
Loreto Ferrus Abad et al	1	unknown	unknown	unknown	Spain/Valencia32/2020
Vicente Soriano Chirona et al	1	unknown	unknown	unknown	Spain/Valencia36/2020
Gimeno et al	1	unknown	unknown	unknown	Spain/Valencia39/2020
Castillo et al	4	unknown	unknown	unknown	Chile/Santiago-1/2020,Chile/Talca-1/2020,Chile/Talca-2/2020,Chile/Santiago-2/2020
Marta Pla Diaz et al	1	unknown	unknown	unknown	Spain/Valencia93/2020
Bampali et al	3	unknown	unknown	unknown	Greece/16/2020,Greece/12/2020,Greece/10/2020
Romero et al	10	unknown	unknown	unknown	Brazil/RJ0113/2020,Brazil/MG0102/2020,Brazil/RS0107/2020,Brazil/RJ0116/2020,Brazil/SP0105/2020,Brazil/SP0104/2020,Brazil/GO0106/2020,Brazil/MG0101/2020,Brazil/MG0108/2020,Brazil/RJ0118/2020
Beamud et al	1	unknown	unknown	unknown	Spain/Valencia57/2020
Eden et al	7	unknown	unknown	unknown	Australia/NSW04/2020,Australia/NSW01/2020,Australia/NSW03/2020,Australia/NSW45/2020,Australia/NSW07/2020,Australia/NSW05/2020,Australia/NSW06/2020
Tao et al	13	unknown	unknown	unknown	USA/AZ1/2020,USA/OR_2656/2020,USA/GA_2741/2020,USA/CA5/2020,USA/IL1/2020,USA/CA_2602/2020,USA/WA_5030/2020,USA/GA_2742/2020,USA/RI_0520/2020,USA/MA_9889/2020,USA/MA_3616/2020,USA/MA_3623/2020,USA/MA_9703/2020
Sekizuka et al	24	unknown	unknown	unknown	Japan/TY-WK-501/2020,Japan/TY-WK-521/2020,Japan/TY-WK-012/2020,Japan/KY-V-029/2020,Japan/AI-I-004/2020,Japan/TK-20-31-3/2020,Japan/OS-20-07-1/2020,Japan/NA-20-05-1/2020,Japan/P5-3/2020,Japan/P4-1/2020,Japan/P5-2/2020,Japan/P4-8/2020,Japan/P4-7/2020,Japan/P4-6/2020,Japan/P4-4/2020,Japan/P4-5/2020,Japan/P4-3/2020,Japan/P5-1/2020,Japan/P4-2/2020,Japan/P3-1/2020,Japan/P3-2/2020,Japan/P2-1/2020,Japan/P2-2/2020,Japan/P1/2020
Braun et al	1	unknown	unknown	unknown	Japan/UT-NCGM02/2020
Mak et al	18	unknown	unknown	unknown	Singapore/20/2020,Singapore/12Clin/2020,Singapore/15/2020,Singapore/16/2020,Singapore/19/2020,Singapore/18/2020,Singapore/21/2020,Singapore/14Clin/2020,Singapore/17/2020,Singapore/3Clin/2020,Singapore/41/2020,Singapore/40/2020,Singapore/42/2020,Singapore/35/2020,Singapore/36/2020,Singapore/1/2020,Singapore/38/2020,Singapore/37/2020
Mohd Noor Mat Isa et al	6	unknown	unknown	unknown	Malaysia/MKAK-CL-2020-6430/2020,Malaysia/MKAK-CL-2020-5096/2020,Malaysia/MKAK-CL-2020-7554/2020,Malaysia/MKAK-CL-2020-5045/2020,Malaysia/MKAK-CL-2020-5049/2020,Malaysia/MKAK-CL-2020-5047/2020
Joel Armando Vazquez Perez et al	4	unknown	unknown	unknown	Mexico/CDMX-INER_05/2020,Mexico/CDMX-INER_04/2020,Mexico/CDMX-INER_02/2020,Mexico/CDMX-INER_01/2020
Adnan Araiza Rodriguez et al	1	unknown	unknown	unknown	Mexico/CDMX-InDRE_06/2020
Chu etl al et al	2	unknown	unknown	unknown	USA/WA-S98/2020,USA/WA-S102/2020
Batty et al	5	unknown	unknown	unknown	Thailand/Bangkok-CONI-0019/2020,Thailand/Bangkok-CONI-0017/2020,Thailand/Bangkok-CONI-0022/2020,Thailand/Bangkok-CONI-0021/2020,Thailand/Bangkok-CONI-0020/2020
Yang et al	7	unknown	unknown	unknown	Taiwan/3/2020,Taiwan/2/2020,Taiwan/4/2020,Taiwan/144/2020,Taiwan/125/2020,Taiwan/128/2020,Taiwan/170/2020
Yeh et al	11	unknown	unknown	unknown	Taiwan/NTU01/2020,Taiwan/NTU04/2020,Taiwan/NTU02/2020,Taiwan/NTU14/2020,Taiwan/NTU19/2020,Taiwan/NTU21/2020,Taiwan/NTU12/2020,Taiwan/NTU16/2020,Taiwan/NTU03/2020,Taiwan/NTU08/2020,Taiwan/NTU09/2020
Vanmechelen et al	4	unknown	unknown	unknown	Belgium/GHB-03021/2020,Belgium/CG-030158/2020,Belgium/RS-030257/2020,Belgium/BA-02291/2020
Gisela Barrera Badillo et al	1	unknown	unknown	unknown	Mexico/Queretaro-InDRE_04/2020
Irma Lopez Martinez et al	1	unknown	unknown	unknown	Mexico/EdoMex-InDRE_03/2020
Marcela Mercado-Reyes et al	2	unknown	unknown	unknown	Colombia/Antioquia79256/2020,Colombia/Bogota78390/2020
Fang et al	3	unknown	unknown	unknown	Wuhan/HBCDC-HB-02/2019,Wuhan/HBCDC-HB-01/2019,Wuhan/HBCDC-HB-03/2019
Paden et al	1	unknown	unknown	unknown	USA/MA1/2020
Boese et al	1	unknown	unknown	unknown	Canada/ON-VIDO-01/2020
Eshaghi et al	17	unknown	unknown	unknown	Canada/ON-PHL2445/2020,Canada/ON_PHL4181/2020,Canada/ON_PHL3459/2020,Canada/ON_PHL0141/2020,Canada/ON_PHL5472/2020,Canada/ON_PHL7590/2020,Canada/ON_PHL3536/2020,Canada/ON_PHL0977/2020,Canada/ON_PHL3695/2020,Canada/ON_PHL6922/2020,Canada/ON_PHL4088/2020,Canada/ON_PHL8751/2020,Canada/ON_PHL3741/2020,Canada/ON_PHL0539/2020,Canada/ON_PHL0743/2020,Canada/ON_PHL5756/2020,Canada/ON_PHL5757/2020
Shi et al	1	unknown	unknown	unknown	China/IQTC01/2020
Rockett et al	4	unknown	unknown	unknown	Australia/NSW02/2020,Australia/NSW09/2020,Australia/NSW08/2020,Australia/NSW10/2020
Alan K.L. Tsang et al	1	unknown	unknown	unknown	HongKong/VB20017970/2020
Sah et al	1	unknown	unknown	unknown	Nepal/61/2020
Zhang et al	5	unknown	unknown	unknown	Wuhan-Hu-1/2019,USA/WI1/2020,Zhejiang/WZ-02/2020,USA/CA6/2020,Shanghai/SH01/2020
Bengner et al	1	unknown	unknown	unknown	Sweden/01/2020
