Author	n (strains)	publication title	journal	publication URL	strains
Huang et al	7	unknown	unknown	unknown	Australia/QLD02/2020,Australia/QLD03/2020,Australia/QLD04/2020,Australia/QLD01/2020,Australia/QLDID921/2020,Australia/QLD09/2020,Australia/QLDID922/2020
Placide Mbala-Kingebeni et al	20	unknown	unknown	unknown	DRC/300/2020,DRC/299/2020,DRC/KN-0059/2020,DRC/KN-0017/2020,DRC/KN-13/2020,DRC/243/2020,DRC/81/2020,DRC/214/2020,DRC/521/2020,DRC/KN-0054/2020,DRC/KN-0070/2020,DRC/KN-0043/2020,DRC/KN-0072/2020,DRC/73/2020,DRC/80/2020,DRC/KN-0058/2020,DRC/94/2020,DRC/248/2020,DRC/82/2020,DRC/253/2020
Dia et al	21	unknown	unknown	unknown	Senegal/618/2020,Senegal/620/2020,Senegal/136/2020,Senegal/306/2020,Senegal/611/2020,Senegal/328/2020,Senegal/610/2020,Senegal/370/2020,Senegal/026/2020,Senegal/003/2020,Senegal/020/2020,Senegal/016/2020,Senegal/119/2020,Senegal/094/2020,Senegal/082/2020,Senegal/073/2020,Senegal/102/2020,Senegal/087/2020,Senegal/315/2020,Senegal/139/2020,Senegal/600/2020
Ngoi et al	14	unknown	unknown	unknown	Ghana/3176_S11/2020,Ghana/2828_S6/2020,Ghana/1651_S3/2020,Ghana/2850_S15/2020,Ghana/3177_S12/2020,Ghana/2230_S4/2020,Ghana/1565_S13/2020,Ghana/2914_S8/2020,Ghana/2944_S9/2020,Ghana/2333_S5/2020,Ghana/2986_S10/2020,Ghana/1622_S2/2020,Ghana/2853_S7/2020,Ghana/1659_S14/2020
Moreno et al	5	unknown	unknown	unknown	USA/WI-88/2020,USA/WI-96/2020,USA/WI-86/2020,USA/WI-99/2020,USA/WI-104/2020
Storey et al	5	unknown	unknown	unknown	NewZealand/20VR0276/2020,NewZealand/01/2020,NewZealand/20VR0206/2020,NewZealand/20VR0189/2020,NewZealand/20VR019/2020
Uehara et al	5	unknown	unknown	unknown	USA/CA1/2020,USA/CA2/2020,USA/TX_2020/2020,USA/FL_5125/2020,USA/FL_5091/2020
Dominic N.C. Tsang et al	9	unknown	unknown	unknown	HongKong/VM20001061/2020,HongKong/VM20002582/2020,HongKong/VM20002493/2020,HongKong/VM20002507/2020,HongKong/VB20024950/2020,HongKong/VM20002907/2020,HongKong/VM20002868/2020,HongKong/VB20026565/2020,HongKong/VM20002849/2020
Kenneth Siu-Sing LEUNG et al	49	unknown	unknown	unknown	HongKong/HKPU1_2101/2020,HongKong/HKPU42-0302/2020,HongKong/HKPU48-0202/2020,HongKong/HKPU20_3001/2020,HongKong/HKPU53-0802/2020,HongKong/HKPU61-0202/2020,HongKong/HKPU54-0302/2020,HongKong/HKPU2_1801/2020,HongKong/HKPU52-3101/2020,HongKong/HKPU17_2201/2020,HongKong/HKPU49-3001/2020,HongKong/HKPU28_3001/2020,HongKong/HKPU12_2201/2020,HongKong/HKPU19_0402/2020,HongKong/HKPU102_2802/2020,HongKong/HKPU76-0802/2020,HongKong/HKPU86-1802/2020,HongKong/HKPU34_3001/2020,HongKong/HKPU90-1602/2020,HongKong/HKPU45-0502/2020,HongKong/HKPU70-1302/2020,HongKong/HKPU74-1302/2020,HongKong/HKPU73-0802/2020,HongKong/HKPU91-2002/2020,HongKong/HKPU84-2502/2020,HongKong/HKPU65-1202/2020,HongKong/HKPU92-1302/2020,HongKong/HKPU64-1202/2020,HongKong/HKPU89-2502/2020,HongKong/HKPU83-1702/2020,HongKong/HKPU38-3001/2020,HongKong/HKPU36-0702/2020,HongKong/HKPU30_2901/2020,HongKong/HKPU29_0102/2020,HongKong/HKPU27_3001/2020,HongKong/HKPU39-3001/2020,HongKong/HKPU_2801/2020,HongKong/HKPU40-2801/2020,HongKong/HKPU33_0202/2020,HongKong/HKPU43-0202/2020,HongKong/HKPU44-0102/2020,HongKong/HKPU23_2601/2020,HongKong/HKPU32_0402/2020,HongKong/HKPU41-0802/2020,HongKong/HKPU6_2101/2020,HongKong/HKPU66-2501/2020,HongKong/HKPU57-0702/2020,HongKong/HKPU60-0802/2020,HongKong/HKPU63-1402/2020
Wellington SCL et al	1	unknown	unknown	unknown	NewZealand/20VR0275/2020
